Episode,Reward,Pre,True,Probabilities,Steps
464.0,139.0,1.0,1.0,0.5175869464874268,12.0
465.0,200.0,0.0,0.0,0.08834807574748993,200.0
466.0,200.0,0.0,0.0,0.001377573818899691,200.0
467.0,200.0,0.0,0.0,0.00414714589715004,200.0
468.0,188.0,1.0,1.0,0.5802614092826843,8.0
469.0,147.0,1.0,1.0,0.5638564229011536,11.0
470.0,200.0,0.0,0.0,0.008583249524235725,200.0
471.0,200.0,0.0,0.0,0.006440775468945503,200.0
472.0,167.0,1.0,1.0,0.5055622458457947,11.0
473.0,199.0,1.0,1.0,0.5579798817634583,9.0
474.0,200.0,0.0,0.0,0.0013054811861366034,200.0
475.0,200.0,0.0,0.0,0.002355914330109954,200.0
